ITEM_ID,OP_DATE,HOL_YN,CONFIG,PSS_ALL,D_3,PSS_SPML,ACTUAL_DEMAND
KE0901BC,2015-05-05,0,94,,,0,94
KE0901BC,2015-05-06,0,94,,,2,68
KE0901BC,2015-05-07,0,94,,,0,39
KE0901BC,2015-05-08,0,94,,,1,66
KE0901BC,2015-05-09,0,94,,,2,54
KE0901BC,2015-05-10,0,94,,,0,87
KE0901BC,2015-05-11,0,94,,,1,93
KE0901BC,2015-05-12,0,94,,,3,63
KE0901BC,2015-05-13,0,94,,,0,53
KE0901BC,2015-05-14,0,94,,,0,59
KE0901BC,2015-05-15,0,94,,,3,87
KE0901BC,2015-05-16,0,94,,,0,94
KE0901BC,2015-05-17,0,94,,,1,94
KE0901BC,2015-05-18,0,94,,,0,94
KE0901BC,2015-05-19,0,94,,,2,61
KE0901BC,2015-05-20,0,94,,,2,51
KE0901BC,2015-05-21,0,94,,,2,45
KE0901BC,2015-05-22,0,94,,,1,94
KE0901BC,2015-05-23,0,94,,,1,86
KE0901BC,2015-05-24,0,94,,,1,88
KE0901BC,2015-05-25,0,94,,,1,62
KE0901BC,2015-05-26,0,94,,,0,47
KE0901BC,2015-05-27,0,94,,,0,54
KE0901BC,2015-05-28,0,94,,,0,70
KE0901BC,2015-05-29,0,94,,,0,74
KE0901BC,2015-05-30,0,94,,,1,76
KE0901BC,2015-05-31,0,94,,,2,94
KE0901BC,2015-06-01,0,94,,,2,81
KE0901BC,2015-06-02,0,94,,,0,55
KE0901BC,2015-06-03,0,94,,,1,60
KE0901BC,2015-06-04,0,94,,,2,68
KE0901BC,2015-06-05,0,94,,,0,79
KE0901BC,2015-06-06,0,94,,,1,86
KE0901BC,2015-06-07,0,94,,,0,82
KE0901BC,2015-06-08,0,94,,,1,68
KE0901BC,2015-06-09,0,94,,,0,41
KE0901BC,2015-06-10,0,94,,,1,84
KE0901BC,2015-06-11,0,94,,,0,58
KE0901BC,2015-06-12,0,94,,,1,74
KE0901BC,2015-06-13,0,94,,,0,90
KE0901BC,2015-06-14,0,94,,,2,94
KE0901BC,2015-06-15,0,94,,,0,94
KE0901BC,2015-06-16,0,94,,,0,64
KE0901BC,2015-06-17,0,94,,,0,88
KE0901BC,2015-06-18,0,94,,,4,72
KE0901BC,2015-06-19,0,94,,56,1,84
KE0901BC,2015-06-20,0,94,,48,1,75
KE0901BC,2015-06-21,0,94,,47,0,94
KE0901BC,2015-06-22,0,94,,50,1,94
KE0901BC,2015-06-23,0,94,,42,2,93
KE0901BC,2015-06-24,0,94,,46,2,85
KE0901BC,2015-06-25,0,94,,43,2,81
KE0901BC,2015-06-26,0,94,,53,1,90
KE0901BC,2015-06-27,0,94,,45,1,82
KE0901BC,2015-06-28,0,94,,44,1,94
KE0901BC,2015-06-29,0,94,,32,2,92
KE0901BC,2015-06-30,0,94,,47,3,91
KE0901BC,2015-07-01,0,94,,57,3,91
KE0901BC,2015-07-02,0,94,,51,0,82
KE0901BC,2015-07-03,0,94,,33,0,65
KE0901BC,2015-07-04,0,94,,32,2,63
KE0901BC,2015-07-05,0,94,,37,3,80
KE0901BC,2015-07-06,0,94,,31,1,99
KE0901BC,2015-07-07,0,94,,31,1,50
KE0901BC,2015-07-08,0,94,,24,0,75
KE0901BC,2015-07-09,0,94,,33,1,52
KE0901BC,2015-07-10,0,94,,42,3,88
KE0901BC,2015-07-11,0,94,,26,0,53
KE0901BC,2015-07-12,0,94,,23,0,52
KE0901BC,2015-07-13,0,94,,18,1,81
KE0901BC,2015-07-14,0,94,,43,0,94
KE0901BC,2015-07-15,0,94,,38,1,89
KE0901BC,2015-07-16,0,94,,25,1,65
KE0901BC,2015-07-17,0,94,,24,3,77
KE0901BC,2015-07-18,0,94,,19,3,92
KE0901BC,2015-07-19,0,94,,30,1,75
KE0901BC,2015-07-20,0,94,,16,2,58
KE0901BC,2015-07-21,0,106,,44,0,106
KE0901BC,2015-07-22,0,94,,41,1,93
KE0901BC,2015-07-23,0,94,,35,3,88
KE0901BC,2015-07-24,0,106,,32,4,103
KE0901BC,2015-07-25,0,94,,40,0,94
KE0901BC,2015-07-26,0,94,,26,2,92
KE0901BC,2015-07-27,0,94,,13,0,88
KE0901BC,2015-07-28,0,94,,26,2,83
KE0901BC,2015-07-29,0,94,,34,2,93
KE0901BC,2015-07-30,0,94,,21,2,92
KE0901BC,2015-07-31,0,94,,46,2,92
KE0901BC,2015-08-01,0,94,,24,3,93
KE0901BC,2015-08-02,0,94,,17,0,80
KE0901BC,2015-08-03,0,94,,23,3,55
KE0901BC,2015-08-04,0,94,,12,2,55
KE0901BC,2015-08-05,0,94,,17,1,85
KE0901BC,2015-08-06,0,94,,19,1,60
KE0901BC,2015-08-07,0,94,,9,0,52
KE0901BC,2015-08-08,0,94,,25,0,62
KE0901BC,2015-08-09,0,94,,20,1,27
KE0901BC,2015-08-10,0,94,,18,1,78
KE0901BC,2015-08-11,0,94,,5,0,56
KE0901BC,2015-08-12,0,94,,8,0,40
KE0901BC,2015-08-13,0,94,,15,2,41
KE0901BC,2015-08-14,0,106,,12,1,96
KE0901BC,2015-08-15,0,94,,13,2,50
KE0901BC,2015-08-16,0,94,,14,2,40
