ITEM_ID,OP_DATE,HOL_YN,CONFIG,PSS_ALL,D_3,PSS_SPML,ACTUAL_DEMAND
AVML,2014-12-25,,,0,0,0,90
AVML,2014-12-26,,,0,0,0,11
AVML,2014-12-27,,,0,0,0,83
AVML,2014-12-28,,,0,0,0,17
AVML,2014-12-29,,,0,0,0,22
AVML,2014-12-30,,,0,0,0,83
AVML,2014-12-31,,,0,0,0,13
AVML,2015-01-01,,,0,0,0,119
AVML,2015-01-02,,,0,0,0,21
AVML,2015-01-03,,,0,0,0,110
AVML,2015-01-04,,,0,0,0,26
AVML,2015-01-05,,,0,0,0,19
AVML,2015-01-06,,,0,0,0,118
AVML,2015-01-07,,,0,0,0,15
AVML,2015-01-08,,,0,0,0,124
AVML,2015-01-09,,,0,0,0,21
AVML,2015-01-10,,,0,0,0,114
AVML,2015-01-11,,,0,0,0,16
AVML,2015-01-12,,,0,0,0,13
AVML,2015-01-13,,,0,0,0,105
AVML,2015-01-14,,,0,0,0,14
AVML,2015-01-15,,,0,0,0,83
AVML,2015-01-16,,,0,0,0,25
AVML,2015-01-17,,,0,0,0,136
AVML,2015-01-18,,,0,0,0,15
AVML,2015-01-19,,,0,0,0,18
AVML,2015-01-20,,,0,0,0,118
AVML,2015-01-21,,,0,0,0,15
AVML,2015-01-22,,,0,0,0,70
AVML,2015-01-23,,,0,0,0,13
AVML,2015-01-24,,,0,0,0,98
AVML,2015-01-25,,,0,0,0,13
AVML,2015-01-26,,,0,0,0,10
AVML,2015-01-27,,,0,0,0,77
AVML,2015-01-28,,,0,0,0,14
AVML,2015-01-29,,,0,0,0,77
AVML,2015-01-30,,,0,0,0,20
AVML,2015-01-31,,,0,0,0,68
AVML,2015-02-01,,,0,0,0,17
AVML,2015-02-02,,,0,0,0,11
AVML,2015-02-03,,,0,0,0,85
AVML,2015-02-04,,,0,0,0,12
AVML,2015-02-05,,,0,0,0,92
AVML,2015-02-06,,,0,0,0,22
AVML,2015-02-07,,,0,0,0,79
AVML,2015-02-08,,,0,0,0,19
AVML,2015-02-09,,,0,0,0,9
AVML,2015-02-10,,,0,0,0,94
AVML,2015-02-11,,,0,0,0,13
AVML,2015-02-12,,,0,0,0,55
AVML,2015-02-13,,,0,0,0,31
AVML,2015-02-14,,,0,0,0,52
AVML,2015-02-15,,,0,0,0,21
AVML,2015-02-16,,,0,0,0,10
AVML,2015-02-17,,,0,0,0,67
AVML,2015-02-18,,,0,0,0,5
AVML,2015-02-19,,,0,0,0,84
AVML,2015-02-20,,,0,0,0,10
AVML,2015-02-21,,,0,0,0,92
AVML,2015-02-22,,,0,0,0,7
AVML,2015-02-23,,,0,0,0,4
AVML,2015-02-24,,,0,0,0,101
AVML,2015-02-25,,,0,0,0,8
AVML,2015-02-26,,,0,0,0,94
AVML,2015-02-27,,,0,0,0,15
AVML,2015-02-28,,,0,0,0,75
AVML,2015-03-01,,,0,0,0,20
AVML,2015-03-02,,,0,0,0,9
AVML,2015-03-03,,,0,0,0,69
AVML,2015-03-04,,,0,0,0,14
AVML,2015-03-05,,,0,0,0,49
AVML,2015-03-06,,,0,0,0,20
AVML,2015-03-07,,,0,0,0,75
AVML,2015-03-08,,,0,0,0,17
AVML,2015-03-09,,,0,0,0,6
AVML,2015-03-10,,,0,0,0,72
AVML,2015-03-11,,,0,0,0,20
AVML,2015-03-12,,,0,0,0,44
AVML,2015-03-13,,,0,0,0,16
AVML,2015-03-14,,,0,0,0,64
AVML,2015-03-15,,,0,0,0,15
AVML,2015-03-16,,,0,0,0,14
AVML,2015-03-17,,,0,0,0,56
AVML,2015-03-18,,,0,0,0,13
AVML,2015-03-19,,,0,0,0,40
AVML,2015-03-20,,,0,0,0,12
AVML,2015-03-21,,,0,0,0,59
AVML,2015-03-22,,,0,0,0,28
AVML,2015-03-23,,,0,0,0,6
AVML,2015-03-24,,,0,0,0,63
AVML,2015-03-25,,,0,0,0,14
AVML,2015-03-26,,,0,0,0,43
AVML,2015-03-27,,,0,0,0,18
AVML,2015-03-28,,,0,0,0,74
AVML,2015-03-29,,,0,0,0,15
AVML,2015-03-30,,,0,0,0,8
AVML,2015-03-31,,,0,0,0,53
AVML,2015-04-01,,,0,0,0,10
AVML,2015-04-02,,,0,0,0,64
AVML,2015-04-03,,,0,0,0,11
AVML,2015-04-04,,,0,0,0,35
AVML,2015-04-05,,,0,0,0,13
AVML,2015-04-06,,,0,0,0,8
